Country,GII Index,GII Rank,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament
Norway,0.067,9,4,7.8,39.6
Australia,0.110,19,6,12.1,30.5
Switzerland,0.028,2,6,1.9,28.5
Denmark,0.048,4,5,5.1,38.0
Netherlands,0.062,7,6,6.2,36.9
Germany,0.041,3,7,3.8,36.9
Ireland,0.113,21,9,8.2,19.9
United States,0.280,55,28,31.0,19.4
Canada,0.129,25,11,14.5,28.2
New Zealand,0.157,32,8,25.3,31.4
Singapore,0.088,13,6,6.0,25.3
"Hong Kong, China (SAR)",,,,3.3,
Liechtenstein,,,,,20.0
Sweden,0.055,6,4,6.5,43.6
United Kingdom,0.177,39,8,25.8,23.5
Iceland,0.087,12,4,11.5,41.3
Korea (Republic of),0.125,23,27,2.2,16.3
Israel,0.101,18,2,7.8,22.5
Luxembourg,0.100,17,11,8.3,28.3
Japan,0.133,26,6,5.4,11.6
Belgium,0.063,8,6,6.7,42.4
France,0.088,13,12,5.7,25.7
Austria,0.053,5,4,4.1,30.3
Finland,0.075,11,4,9.2,42.5
Slovenia,0.016,1,7,0.6,27.7
Spain,0.095,16,4,10.6,38.0
Italy,0.068,10,4,4.0,30.1
Czech Republic,0.091,15,5,4.9,18.9
Greece,0.146,29,5,11.9,21.0
Estonia,0.164,33,11,16.8,19.8
Brunei Darussalam,,,27,23.0,
Cyprus,0.124,22,10,5.5,12.5
Qatar,0.524,116,6,9.5,0.0
Andorra,,,,,50.0
Slovakia,0.164,33,7,15.9,18.7
Poland,0.138,28,3,12.2,22.1
Lithuania,0.125,23,11,10.6,23.4
Malta,0.227,46,9,18.2,13.0
Saudi Arabia,0.284,56,16,10.2,19.9
Argentina,0.376,75,69,54.4,36.8
United Arab Emirates,0.232,47,8,27.6,17.5
Chile,0.338,65,22,55.3,15.8
Portugal,0.111,20,8,12.6,31.3
Hungary,0.209,42,14,12.1,10.1
Bahrain,0.265,51,22,13.8,15.0
Latvia,0.167,36,13,13.5,18.0
Croatia,0.149,30,13,12.7,25.8
Kuwait,0.387,79,14,14.5,1.5
Montenegro,0.171,37,7,15.2,17.3
Belarus,0.151,31,1,20.6,30.1
Russian Federation,0.276,54,24,25.7,14.5
Oman,0.275,53,11,10.6,9.6
Romania,0.333,64,33,31.0,12.0
Uruguay,0.313,61,14,58.3,11.5
Bahamas,0.298,58,37,28.5,16.7
Kazakhstan,0.267,52,26,29.9,20.1
Barbados,0.357,69,52,48.4,19.6
Antigua and Barbuda,,,,49.3,25.7
Bulgaria,0.212,44,5,35.9,20.4
Palau,,,,,10.3
Panama,0.454,96,85,78.5,19.3
Malaysia,0.209,42,29,5.7,14.2
Mauritius,0.419,88,73,30.9,11.6
Seychelles,,,,56.3,43.8
Trinidad and Tobago,0.371,73,84,34.8,24.7
Serbia,0.176,38,16,16.9,34.0
Cuba,0.356,68,80,43.1,48.9
Lebanon,0.385,78,16,12.0,3.1
Costa Rica,0.349,66,38,60.8,33.3
Iran (Islamic Republic of),0.515,114,23,31.6,3.1
Venezuela (Bolivarian Republic of),0.476,103,110,83.2,17.0
Turkey,0.359,71,20,30.9,14.4
Sri Lanka,0.370,72,29,16.9,5.8
Mexico,0.373,74,49,63.4,37.1
Brazil,0.457,97,69,70.8,9.6
Georgia,0.382,77,41,46.8,11.3
Saint Kitts and Nevis,,,,,6.7
Azerbaijan,0.303,59,26,40.0,15.6
Grenada,,,23,35.4,25.0
